name,search_term_01,search_term_02,search_term_03,search_term_04,search_term_05,search_term_06,search_term_07,search_term_08,search_term_09,search_term_10,search_term_11,search_term_12,No. of terms,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name,per,round
Amperage (amps),hoover,carpet,cleaners,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,tuband,tile,latex,caulk,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Automatic Shut-off,tankless,gas,water,heater,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Type,lantern,lighting,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Shelves,valet,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,bathroom,vanity,cabinets,with,led,lighting,(null),(null),(null),(null),(null),(null),6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,home,tool,set,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,cement,blocks,deck,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Air Volume Control,shallow,well,jet,pump,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),56,volt,battery,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Color Temperature (K),indoor,grow,cabinet,with,lights,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Detection Sensitivity,heath,zenith,5211,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,control,valve,for,moen,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),sauder,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),grill,island,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bend Degree,sharkbite,3-Mar,reducer,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,4,inch,drain,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,3,canspot,lights,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Attachment Method,drain,guard,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual inside diameter (in.),pre,cut,riser,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,ceramic,tile,wall,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,33.33333333,34
Assembly Required,36,x,24,medicine,cabinet,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Method,ugl,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bidet/Toilet Seat Type,sofet,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bucket/Tub Material,rubbermaid,trash,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
AC Rating,lami(null)te,flooring,11mm,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),cordless,sweeperr,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Builders Hardware Product Type,screen,clip,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Depth (ft.),hard,top,gazebo,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Accessory Type,kick,plates,8x30in,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,4,square,box,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bidet/Toilet Seat Type,black,toilet,seats,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,33.33333333,34
Bullet01,garage,doors,openers,accessories,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,american,craftsman,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),air,gap,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Shape,flourscent,lights,size,18x24,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),closet,shelf,bracket,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,shutter,exterior,movable,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,joist,hangers,case,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,brother,sewing,machine,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Accessory Change System,makita,multitool,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,screen,cleaner,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Antivibration,echo,gas,trimmers,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,cat,5e,cable,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Angle (Degrees),plastic,collated,(null)ils,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,concealed,outlet,plates,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,porcelain,tile,flooring,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,33.33333333,34
Actual picket height (in.),6x6,square,fence,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Builders Hardware Product Type,cable,prime,line,emergensy,open,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),foot,solar,pool,cover,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),inexpensive,wood,door,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,ge,lifetime,silicone,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),black,umbrella,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,granite,cleaners,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,heating,element,9kw,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,attic,vents,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable hanging length,glass,pendant,light,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet02,"clopay,",value,series,8,ft.,x,7,ft.,non-insulated,garage,door,(null),11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),badless,vacuum,cleaners,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,25,slide,in,range,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,light,receptacle,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet02,delta,mandare,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,handtools,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),5/8',x,6',galvanized,hex,bolt,(null),(null),(null),(null),(null),(null),6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,polypropylene,spray,bottle,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Type,ceiling,mounted,lighting,fixures,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Angle (Degrees),cable,poter,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,kerosene,heaters,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,behr,marquee,paint,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),ge,24,wall,oven,combo,(null),(null),(null),(null),(null),(null),(null),5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,20,20
Bullet01,4-Mar,nonmetallic,conduit,6,ft,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,bath,sealant,stone,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual product thickness (in.),maple,lumber,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Depth (ft.),20',x,20',garage,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,25
Bit Diameter,irwin,torx,bit,t25,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,25
Accessory Type,compressor,hose,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Alarm Sensor Type,door,alarms,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),bed,frame,for,headboards,foot,boards,(null),(null),(null),(null),(null),(null),6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,animal,fire,pit,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,upholstry,cleaner,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,13/16,threaded,adapter,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Box Type,old,work,boxes,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,rapid,set,stucco,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
A/C Cooling Rate (BTU/hr),8000,btu,ac,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,33.33333333,34
Actual Product Depth (in.),19,2-Jan,x,23,filter,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
AC Rating,fiber,bener,board,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Shelves,wardrobe,cabinet,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,eaton,40,hacr,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Antimicrobial,plastic,film,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Type,outdoor,post,light,part,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adhesive Product Type,cr,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,fiberglass,round,rods,0.375,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Length (in.),warmer,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,1.5,abs,adaptor,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,japanese,rain,spouts,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
